2026-08-25 09:30:01 ET | curve ust-2026-08-25.json fetched
2026-08-25 09:30:01 ET | snapshot 0930 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 09:45:02 ET | snapshot 0945 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 10:00:05 ET | snapshot 1000 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 10:15:02 ET | snapshot 1015 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 10:30:02 ET | snapshot 1030 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 10:45:02 ET | snapshot 1045 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 11:00:02 ET | snapshot 1100 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 11:15:02 ET | snapshot 1115 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 11:30:02 ET | snapshot 1130 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 11:45:02 ET | snapshot 1145 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 12:00:02 ET | snapshot 1200 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 12:15:02 ET | snapshot 1215 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 12:30:02 ET | snapshot 1230 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 12:45:02 ET | snapshot 1245 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 13:00:02 ET | snapshot 1300 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 13:15:02 ET | snapshot 1315 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 13:30:02 ET | snapshot 1330 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 13:45:02 ET | snapshot 1345 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 14:00:02 ET | snapshot 1400 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 14:15:02 ET | snapshot 1415 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 14:30:05 ET | snapshot 1430 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 14:45:02 ET | snapshot 1445 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 15:00:02 ET | snapshot 1500 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 15:15:02 ET | snapshot 1515 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 15:30:02 ET | snapshot 1530 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 15:45:02 ET | snapshot 1545 complete: 24 ok, 0 failed, 0 already present, 24 tickers
2026-08-25 16:00:02 ET | snapshot 1600 complete: 24 ok, 0 failed, 0 already present, 24 tickers
